TRADEDATE,CLOSE,VALUE,VOLUME
2014-01-06,98.91,3154470383.9,31691800.0
2014-01-08,98.19,4179938515.5,42372290.0
2014-01-09,98.0,4518388781.2,45986900.0
2014-01-10,99.2,5109679480.9,51902400.0
2014-01-13,100.25,6191507238.7,62051250.0
2014-01-14,99.24,7781261285.6,78485160.0
2014-01-15,100.77,7807555438.7,77839370.0
2014-01-16,100.65,6342081313.5,62759280.0
2014-01-17,101.17,6976427837.1,69135170.0
2014-01-20,101.96,6337126441.7,62429420.0
2014-01-21,102.2,6340162289.1,61991430.0
2014-01-22,102.17,5962256453.3,58589100.0
2014-01-23,101.7,7229344462.4,70600710.0
2014-01-24,99.7,11328433229.4,112821700.0
2014-01-27,97.78,10205265742.8,103793450.0
2014-01-28,97.36,7879197170.2,80448950.0
2014-01-29,95.98,11798207834.2,120814560.0
2014-01-30,95.8,12465984799.6,130498640.0
2014-01-31,94.7,9826064290.3,103047610.0
2014-02-03,94.66,7762450691.6,81505780.0
2014-02-04,94.07,8816982226.2,93931280.0
2014-02-05,95.45,8614557954.1,90666210.0
2014-02-06,96.62,7316925270.3,76095210.0
2014-02-07,96.53,7520576896.1,77654990.0
2014-02-10,95.47,6527070792.2,67771880.0
2014-02-11,96.12,5293672847.6,55103910.0
2014-02-12,96.84,6836550789.2,70670070.0
2014-02-13,95.5,5971881712.3,62181740.0
2014-02-14,96.65,6152005931.6,63884790.0
2014-02-17,97.49,5342634607.5,54738670.0
2014-02-18,96.62,5521845072.9,56765130.0
2014-02-19,94.9,7585763995.6,79367620.0
2014-02-20,94.63,6803693880.4,72263740.0
2014-02-21,95.0,4957617662.0,52205040.0
2014-02-24,94.69,4560183217.6,48226210.0
2014-02-25,94.17,7028565285.6,74634340.0
2014-02-26,92.29,8447503248.6,90720380.0
2014-02-27,90.12,11709164763.3,129290620.0
2014-02-28,91.16,10176591958.5,112780920.0
2014-03-03,77.57,33834631494.3,427913510.0
2014-03-04,81.55,30132920508.4,371921710.0
2014-03-05,81.46,14261760259.2,175284130.0
2014-03-06,80.24,22663770504.0,281937510.0
2014-03-07,79.99,15241918515.2,190384620.0
2014-03-11,76.57,11720261740.1,150142970.0
2014-03-12,72.46,17042032852.6,227452390.0
2014-03-13,69.84,18291536404.2,256776110.0
2014-03-14,71.75,23504637802.9,346714120.0
2014-03-17,76.97,25538520916.4,344321660.0
2014-03-18,81.43,23589639716.5,301075150.0
2014-03-19,80.83,20862008429.9,257701520.0
2014-03-20,79.5,15114543570.0,190046940.0
2014-03-21,78.47,16078610494.1,207828970.0
2014-03-24,78.29,13253767822.2,167819190.0
2014-03-25,81.85,20451446930.3,255665910.0
2014-03-26,82.56,19049556951.5,229652070.0
2014-03-27,79.88,14948796189.1,185280640.0
2014-03-28,81.47,12322262205.1,152251850.0
2014-03-31,83.8,14692186419.2,178420740.0
2014-04-01,83.88,12968274195.0,154874300.0
2014-04-02,82.67,11804773404.0,143111440.0
2014-04-03,81.51,10532322499.7,127794990.0
2014-04-04,82.98,12067295488.7,147144280.0
2014-04-07,79.95,18991884791.3,236725410.0
2014-04-08,79.41,12949536875.1,163499350.0
2014-04-09,78.85,12673403126.6,161363630.0
2014-04-10,79.9,14170548657.5,178317550.0
2014-04-11,79.75,12236550210.6,154422060.0
2014-04-14,78.35,14910754294.4,190735310.0
2014-04-15,75.2,14614490983.2,190723350.0
2014-04-16,76.13,20398523953.8,271726740.0
2014-04-17,76.89,15344443361.7,201674510.0
2014-04-18,78.82,9018787421.5,114463050.0
